a52dec 0.8.0-2
arch-wiki-docs 20251102-1
arch-wiki-lite 20251102-1
arch-wiki-search 20250829-1
argon2 20190702-6
ayatana-ido 0.10.4-1
baobab 49.0-1
base 3-2
base-devel 1-2
bat 0.26.0-1
bc 1.08.2-1
blueberry 1.4.8-2
bluez 5.84-2
bluez-utils 5.84-2
boost-libs 1.89.0-3
bpytop 1.0.68-2
brightnessctl 0.5.1-3
btop 1.4.5-1
calc 2.15.1.1-1
catppuccin-gtk-theme-mocha 1.0.3-1
clang 21.1.5-1
clang18 18.1.8-2
clang19 19.1.7-1
cliphist 1:0.7.0-1
clucene 2.3.3.4-16
cmake 4.1.2-1
cmatrix 2.0-4
containerd 2.2.0-1
decibels 49.0-1
dkms 3.3.0-1
docker 1:28.5.2-1
dolphin 25.08.3-1
dosfstools 4.2-5
dunst 1.13.0-1
dust 1.2.3-1
efibootmgr 18-3
egl-gbm 1.1.2.1-1
egl-x11 1.0.3-1
epiphany 49.1-1
exfatprogs 1.3.0-1
eza 0.23.4-1
fastfetch 2.55.0-1
firefox 145.0-1
foot 1.25.0-1
fuse2 2.9.9-5
fzf 0.66.1-1
gdm 49.1-2
git 2.51.2-2
gnome-backgrounds 49.0-1
gnome-calculator 49.1.1-1
gnome-calendar 49.0.1-1
gnome-characters 49.1-1
gnome-clocks 49.0-1
gnome-color-manager 3.36.2-1
gnome-connections 49.0-1
gnome-console 49.1-1
gnome-contacts 49.0-1
gnome-control-center 49.1-1
gnome-disk-utility 46.1-2
gnome-font-viewer 49.0-1
gnome-keyring 1:48.0-1
gnome-logs 49.0-1
gnome-maps 49.2-1
gnome-menus 3.38.1-1
gnome-music 1:49.1-1
gnome-remote-desktop 49.1-1
gnome-session 49.1-1
gnome-settings-daemon 49.1-1
gnome-shell 1:49.1-2
gnome-software 49.1-1
gnome-system-monitor 49.1-1
gnome-text-editor 49.0-1
gnome-themes-extra 1:3.28-1
gnome-tour 49.0-1
gnome-tweaks 49.0-1
gnome-user-docs 49.1-1
gnome-user-share 48.1-1
gnome-weather 49.0-1
google-chrome 142.0.7444.162-1
grilo-plugins 1:0.3.18-1
grim 1.5.0-2
grub 2:2.14rc1-2
gst-plugin-pipewire 1:1.4.9-1
gvfs 1.58.0-2
gvfs-afc 1.58.0-2
gvfs-dnssd 1.58.0-2
gvfs-goa 1.58.0-2
gvfs-google 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gvfs-nfs 1.58.0-2
gvfs-onedrive 1.58.0-2
gvfs-smb 1.58.0-2
gvfs-wsdd 1.58.0-2
htop 3.4.1-1
hunspell 1.7.2-2
hypridle 0.1.7-4
hyprland 0.52.1-3
hyprland-qt-support 0.1.0-9
hyprland-relative-workspace-bin 1.1.8-1
hyprlock 0.9.2-4
hyprpaper 0.7.6-2
hyprshot 1.3.0-4
hyprsunset 0.3.3-3
inetutils 2.6-1
intel-media-driver 25.3.4-1
intel-ucode 20251111-1
iwd 3.10-1
kitty 0.44.0-1
lazydocker 0.24.1-2
lazygit 0.56.0-1
less 1:685-1
lib32-gcc-libs 15.2.1+r301+gf24307422d1d-1
lib32-ncurses-git 6.5.20251101.r0.gca83a687-1
libabw 0.1.3-5
libatomic_ops 7.8.2-1
libayatana-appindicator 0.5.94-1
libcdr 0.1.8-3
libcmis 0.6.2-6
libcurl-gnutls 8.17.0-2
libe-book 0.1.3-19
libepubgen 0.1.1-5
libetonyek 0.1.13-1
libexttextcat 3.4.7-1
libfreehand 0.1.2-5
libixion 0.20.0-3
libmspub 0.1.4-18
libmwaw 0.3.22-3
libngtcp2 1.17.0-1
libnumbertext 1.0.11-2
libodfgen 0.1.8-5
liborcus 0.21.0-2
libpagemaker 0.0.4-4
libpipeline 1.5.8-1
libpulse 17.0+r93+gbe2efb69b-1
libqxp 0.0.2-14
libreoffice-fresh 25.8.3-1
libva-intel-driver 2.4.1-5
libva-nvidia-driver 0.0.14-1
libvlc 3.0.21-31
linux 6.17.8.arch1-1
linux-firmware 20251111-1
linux-headers 6.17.8.arch1-1
linux-lts 6.12.58-1
linux-lts-headers 6.12.58-1
loupe 49.1-1
malcontent 0.13.1-1
man-db 2.13.1-1
man-pages 6.16-1
moreutils 0.70-1
mtools 1:4.0.49-1
nano 8.7-1
nautilus 49.1-3
neovim 0.11.5-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
node-gyp 12.1.0-1
noto-fonts 1:2025.11.01-1
noto-fonts-cjk 20240730-1
noto-fonts-extra 1:2025.11.01-1
npm 11.6.2-1
ntfs-3g 2022.10.3-2
nvidia 580.105.08-3
nvidia-lts 1:580.105.08-3
nvm 0.40.3-1
nwg-displays 0.3.26-1
nwg-look 1.0.6-1
openbsd-netcat 1.234_1-1
orca 49.4-1
os-prober 1.83-1
papers 49.1-1
paru 2.1.0-1
paru-debug 2.1.0-1
pavucontrol 1:6.2-1
pipewire 1:1.4.9-1
pipewire-alsa 1:1.4.9-1
pipewire-jack 1:1.4.9-1
pipewire-pulse 1:1.4.9-1
polkit-kde-agent 6.5.2-1
python-cryptography 46.0.3-1
python-filelock 3.20.0-1
python-pip 25.3-1
qt5-svg 5.15.18+kde+r5-1
qt5-wayland 5.15.18+kde+r55-1
qt5-x11extras 5.15.18-1
qt6-wayland 6.10.0-1
reflector 2023-3
rust 1:1.91.1-2
rygel 1:45.0-1
showtime 49.0-1
simple-scan 49.1-1
slurp 1.5.0-1
smartmontools 7.5-1
snapshot 49.0-1
sof-firmware 2025.05.1-1
spotify 1:1.2.74.477-2
starship 1.24.0-1
stow 2.4.1-1
sushi 46.0-2
sway 1:1.11-1
swaybg 1.2.1-1
swayidle 1.9.0-1
swaylock 1.8.4-1
swaync 0.12.3-1
tcl 8.6.16-1
tecla 49.0-1
tig 2.6.0-1
tk 8.6.16-1
tmux 3.5_a-1
tree 2.2.1-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
uwsm 0.24.2-1
vim 9.1.1908-1
vlc 3.0.21-31
vulkan-intel 1:25.2.7-1
vulkan-nouveau 1:25.2.7-1
vulkan-radeon 1:25.2.7-1
waybar 0.14.0-4
wget 1.25.0-3
wireless_tools 30.pre9-4
wireplumber 0.5.12-1
wl-clip-persist 0.5.0-1
wl-clipboard 1:2.2.1-3
wmenu 0.2.0-1
woff2-font-awesome 7.1.0-1
wofi 1.5.1-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-hyprland 1.3.11-1
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-2
xf86-video-nouveau 1.0.18-1
xorg-server 21.1.20-1
xorg-xinit 1.4.4-1
yazi 25.5.31-2
yelp 49.0-1
zip 3.0-11
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsh 5.9-5
